,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ANKRD65,6.77147939446202,-2.71498774104855,0.357582860557774,-4.79605688699239,1.61819343180819e-06,9.89643466217077e-05
UBTD1,4.52161457736831,-2.7143853574651,0.425919377840254,-4.02514054692318,5.69412967940283e-05,0.00225131824539876
LRRC45,4.60481835193887,-2.71426829392813,0.43413667988741,-3.94868338324397,7.85822051144729e-05,0.00288914955271693
C9orf116,12.7887249085228,-2.71076559611542,0.297742714925902,-5.74578490204595,9.14955579016865e-09,8.68622654056186e-07
AKR7A2,5.02456938719406,-2.70936435425435,0.372623722878616,-4.58737393596162,4.48856297269819e-06,0.000241893547132636
ECI1,5.54691153576241,-2.70510968234108,0.426293241236677,-3.99985155146856,6.33822292662329e-05,0.00245182674403235
SIVA1,6.53677477510171,-2.70446758809244,0.41517473845512,-4.10542219990267,4.03577097926569e-05,0.00166835707140328
ARL6IP4,14.2758475934703,-2.69975556473689,0.29082133575498,-5.84467284810546,5.0756477494755e-09,5.18001575632409e-07
RPS14,131.152069261243,-2.69925035099634,0.245330067885801,-6.92638438345571,4.31732408696168e-12,7.92107696808958e-10
SAP30,2.45323874031453,-2.69917792403916,0.399980526088656,-4.24815163041848,2.15541494937201e-05,0.000985875930204356
VPS51,12.3331052773242,-2.6974250287523,0.343325927734116,-4.94406303641259,7.65109457784998e-07,5.07864729112652e-05
PKIG,10.7777282956933,-2.69724735750897,0.316757320639818,-5.35819457646851,8.40576869056971e-08,6.9322119670865e-06
CD99,3.7546130657563,-2.69400081500648,0.429926053212513,-3.94021437488725,8.14088271716903e-05,0.00296724272072886
PWWP2B,2.89452935630535,-2.69324717628113,0.43505670129467,-3.89201492872596,9.94151260538428e-05,0.00354915261816268
TRAPPC2L,5.08559582380211,-2.69160689731352,0.420728643545223,-4.02066016484967,5.80352755842685e-05,0.00228351328919403
POLR2J,3.96183748356768,-2.69137956026766,0.433849627820176,-3.89853869131059,9.67749393407555e-05,0.00346543417652455
WFS1,3.56582772578335,-2.6895189827129,0.473694581890954,-3.56668420391988,0.000361526712491605,0.0110137494184243
RPL37,95.8106417864755,-2.68789220365296,0.225350460339582,-7.49007657277231,6.88334433825382e-14,1.67758402536338e-11
RPS9,45.2304117865167,-2.68607833039575,0.297435497628833,-5.66871924782762,1.4386888582473e-08,1.32725143312543e-06
CD9,18.1426168022978,-2.6852465163093,0.399740256492837,-4.21585389246253,2.48834834240693e-05,0.00111934545683644
EEF1D,36.9258974315977,-2.68260043935454,0.29053467935878,-5.79139276270943,6.98051229800099e-09,6.90816880691262e-07
HSPBP1,9.50104897146359,-2.68046128930719,0.356466225892658,-4.7142230237914,2.42634796841813e-06,0.000142006580560214
GPX1,19.6639934683484,-2.68021283251712,0.458481224645101,-3.66473639965896,0.000247593456802666,0.0078810010840755
MRPL28,3.00937027092035,-2.67149126624752,0.486761745356675,-3.4339002236561,0.000594963155859524,0.0165223696803234
RWDD3,1.21807036821885,-2.67058246395804,0.538852347670707,-3.1002601569418,0.00193350734038282,0.0439113231726163
TSPAN15,6.64204443451565,-2.66998249450035,0.356928138488083,-4.67876391470355,2.88609517263429e-06,0.000165255925318158
CCDC78,31.9460721326718,-2.66755452619551,0.347160812316626,-4.80340656846554,1.55988693926857e-06,9.66087310356887e-05
IFT43,8.32987767827603,-2.66729756355106,0.362172642021346,-4.60359886446861,4.15251931172997e-06,0.000229852501156742
RPS12,115.557665738643,-2.66655363290083,0.231953206231749,-7.18487000018331,6.72711643552379e-13,1.44535637204826e-10
BAD,5.4972023194819,-2.65832951914927,0.413829144405009,-4.0072806412259,6.14218634741313e-05,0.00239942011643323
DPCD,5.42324274874387,-2.65564915340666,0.341371956814928,-4.84998583027795,1.23470294437492e-06,7.93758440106224e-05
DGCR6,6.94269206214184,-2.65262682112777,0.415818785371743,-3.97439192087081,7.05592936360912e-05,0.0026608838470756
CBR1,18.8552640577346,-2.65102749063921,0.28636214179608,-5.765522915438,8.14050397301024e-09,7.86546090978013e-07
ARF5,9.81898713895509,-2.64760149737039,0.356413287876289,-4.6227274723334,3.78727145315579e-06,0.000211788888899249
IFI27L2,1.63635635179188,-2.64733141209481,0.502111122272959,-3.28081044020229,0.00103509285052372,0.0262862070858504
H2AJ,8.96718445899912,-2.64600593119585,0.408268412831712,-4.03167592559833,5.53805181014803e-05,0.00219492349533755
S100A2,5.97016011848387,-2.62935734679199,0.357724696371302,-4.55478015166386,5.2440393950017e-06,0.000275337361032099
RPL8,136.55842171214,-2.62694957596998,0.259136665501744,-6.27834572471577,3.42194339747332e-10,4.58007489650343e-08
RIIAD1,2.0513167447155,-2.62104469911457,0.528545282327594,-3.06699303411782,0.00216223895995517,0.0479066485442441
PTPRN2,10.3425238813548,-2.61662957434561,0.329338916347788,-4.90871103929432,9.16769402768188e-07,6.03626112008135e-05
PSMG3,3.90186062311335,-2.6163040368553,0.419756834150355,-3.85057229652239,0.000117842136875177,0.00411163301930505
EEF1G,182.509880675067,-2.6121082485532,0.237395397959673,-6.79081508069944,1.11501771539291e-11,1.93692811432455e-09
MCRIP1,2.29010387088987,-2.60702495352827,0.524280041977833,-3.06520337387975,0.00217522028435421,0.0481289593810568
C11orf88,20.6516762896443,-2.6068379992831,0.278212897975503,-5.77556975602398,7.66931179466299e-09,7.45429716041976e-07
ZNF511,3.32340272573276,-2.60545991701534,0.468736105138236,-3.42508268387363,0.000614612340968138,0.0169465794747887
RPL27,54.2803038311243,-2.6047481187591,0.23079801204516,-6.95304133921702,3.5749387356835e-12,6.78781100174137e-10
WFDC6,2.84536124055291,-2.60458247668019,0.49103711809728,-3.26774171960317,0.00108409248372337,0.0273181268004923
SCGB1A1,26.9818201496599,-2.60347585803597,0.38758091456326,-4.13713833108327,3.51664121786964e-05,0.00150426716317917
RPS13,25.4699487361203,-2.59569532636559,0.254862829824509,-6.26099666029896,3.82524719323016e-10,4.95733820779803e-08
ARL3,17.1230590710281,-2.59242844489346,0.2672049885476,-5.95957603018248,2.52893182426088e-09,2.77147166163463e-07
NBL1,4.73814317626392,-2.591324271539,0.412853491841952,-3.8544527368275,0.000115988786725452,0.00406433669193112
GADD45A,4.88872129231407,-2.58188178706424,0.474451940667467,-3.33412438958269,0.000855683821985064,0.022320225445997
SPEF1,4.97871779554789,-2.5809408019589,0.435720391740546,-3.62833787889432,0.000285251787736644,0.00890607350277565
METRN,6.58423522331816,-2.58080131385728,0.457613028217836,-3.45444997493554,0.000551416503839462,0.0155510882404051
TCEAL3,3.10117604968674,-2.57852705211464,0.41298710873273,-3.82221870546619,0.00013225630822544,0.00456577855605329
CCDC74B,8.10372750019583,-2.57846568596188,0.356253092048553,-4.43074241653669,9.39092107303e-06,0.000463275982481894
RHOB,33.6069446922499,-2.57590085093008,0.27284978039348,-5.77570870189981,7.66298496381651e-09,7.45429716041976e-07
CENPX,1.78051440360627,-2.57424470548372,0.488883108462884,-3.22008406147097,0.00128153012228501,0.0313265050401077
RPL27A,92.8079980660463,-2.56836055649854,0.247478265518865,-6.33736685203568,2.33725035851365e-10,3.16682009356006e-08
CYP27A1,3.79559042095301,-2.56672236261979,0.482148903784895,-3.24945748153929,0.00115625361877919,0.0287656653919063
MRPL12,2.48485814634062,-2.56473411305402,0.46319216358947,-3.37815325053913,0.000729744000320992,0.0194388087785342
INHBB,3.38133023353906,-2.56172489772324,0.458365930720709,-3.40715745445494,0.000656432470473245,0.0177464996860225
PSMA7,14.9552099023228,-2.55834087154905,0.323036688267415,-4.82403679875218,1.40681444623524e-06,8.83533580483665e-05
SEC14L3,31.5367577035206,-2.55690481484497,0.344173337814469,-4.5236066940323,6.0794650719922e-06,0.000314150585951141
KRT5,43.4696701742047,-2.55663863728348,0.291877213450425,-5.33319685658804,9.64985983834711e-08,7.76219513794926e-06
FAM174A,9.46006229635385,-2.55505058602741,0.347613665078868,-4.4735024604818,7.69486722932789e-06,0.000387807058603997
KRT19,118.148380299458,-2.55481434737102,0.254291928743201,-6.1142890183556,9.69883904749641e-10,1.16450252063654e-07
DPY30,14.1619116616254,-2.54803714515554,0.281924207081818,-5.49096922601713,3.99734006570947e-08,3.50927773833172e-06
S100A13,8.49495606983314,-2.5433909244821,0.318637449251661,-4.84372106325495,1.27429795910148e-06,8.1281294430344e-05
TEF,7.5346287870755,-2.53699199236982,0.34706010324467,-4.42860466530281,9.48446895042352e-06,0.000466481606902005
RPL39,31.6602673833803,-2.53551206349299,0.262929577486474,-5.84001266868495,5.21968528976036e-09,5.26124945040105e-07
MCEE,2.38357348400018,-2.53445219888974,0.502261548003782,-3.05508595071304,0.00224996032200052,0.0495142885417069
WFDC21P,9.17149957961195,-2.53341673517453,0.334074981802151,-4.59003762240019,4.43166123881206e-06,0.000239617868770073
SURF1,3.90927053354459,-2.53198270695859,0.430040958792497,-3.562411150929,0.000367464290560551,0.011173788455425
