row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000184678,797.1937728,1.726187917,0.214791687,3.380893959,0.000722504,0.04342601
ENSG00000076382,279.4500264,1.715616668,0.189778691,3.770795678,0.000162728,0.012498954
ENSG00000149554,76.33521418,1.700168444,0.192042503,3.64590356,0.000266454,0.019180963
ENSG00000140451,68.8405908,1.665419031,0.168845437,3.940995052,8.11E-05,0.006788488
ENSG00000164087,92.33646655,1.641766883,0.154945578,4.141885746,3.44E-05,0.003211589
ENSG00000104738,765.1814163,1.632901025,0.18081899,3.500191136,0.000464925,0.030044422
ENSG00000108641,33.38615337,1.624864981,0.159313235,3.9222415,8.77E-05,0.007280331
ENSG00000080986,138.4390653,1.606832534,0.169171746,3.587079683,0.000334402,0.022850076
ENSG00000097021,268.3982322,1.594335041,0.144450791,4.114446439,3.88E-05,0.003586133
ENSG00000160957,190.7510366,1.587416053,0.162533544,3.614121985,0.000301367,0.021249474
ENSG00000017483,568.7783512,1.57793269,0.126741779,4.559922512,5.12E-06,0.00056774
ENSG00000077152,80.63248113,1.569153171,0.157412282,3.615684658,0.000299555,0.021169911
ENSG00000236783,2.724376926,-3.147526577,0.588565584,-3.64874644,0.000263523,0.019014201
ENSG00000204388,152.3051509,-2.838714082,0.537053225,-3.42370923,0.000617727,0.038014145
ENSG00000144290,61.19445419,-2.813650149,0.393985455,-4.603342903,4.16E-06,0.000467983
ENSG00000154736,21.72096692,-2.609701677,0.39489932,-4.076233097,4.58E-05,0.004071264
ENSG00000226321,48.8382078,-2.344616658,0.379384845,-3.544202348,0.000393803,0.026102301
ENSG00000157445,107.2081235,-2.276782787,0.214785404,-5.944457887,2.77E-09,5.10E-07
ENSG00000213557,19.58674203,-2.182867089,0.298160849,-3.967211295,7.27E-05,0.006133322
ENSG00000152207,193.5548466,-1.91964663,0.22892149,-4.017301438,5.89E-05,0.00504768
